"version","version_season","season_name","season","advantage_id","advantage_type","clue_details","location_found","conditions"
"US","US11","Survivor: Guatemala",11,"USHI1101","Hidden immunity idol","Found without clue","Found around camp","Play before votes are cast"
"US","US12","Survivor: Panama",12,"USSI1201","Super idol","Found on Exile","Advantage from Exile","Play after votes are read; Valid until F4"
"US","US13","Survivor: Cook Islands",13,"USSI1301","Super idol","Found on Exile","Advantage from Exile","Play after votes are read; Valid until F4"
"US","US14","Survivor: Fiji",14,"USHI1401","Hidden immunity idol","Found on Exile","Found around camp",NA
"US","US14","Survivor: Fiji",14,"USHI1402","Hidden immunity idol","Someone shared the clue","Found around camp",NA
"US","US14","Survivor: Fiji",14,"USHI1403","Hidden immunity idol","Someone shared the clue","Found around camp",NA
"US","US15","Survivor: China",15,"USHI1501","Hidden immunity idol","Someone shared the clue","Found around camp",NA
"US","US15","Survivor: China",15,"USHI1502","Hidden immunity idol","Someone shared the clue","Found around camp",NA
"US","US16","Survivor: Micronesia",16,"USHI1601","Hidden immunity idol","Found on Exile","Advantage from Exile",NA
"US","US16","Survivor: Micronesia",16,"USHI1602","Hidden immunity idol","Found on Exile","Advantage from Exile",NA
"US","US16","Survivor: Micronesia",16,"USHI1603","Hidden immunity idol","Found on Exile","Found around camp",NA
"US","US17","Survivor: Gabon",17,"USHI1701","Hidden immunity idol","Found on Exile","Advantage from Exile","Valid until F6"
"US","US17","Survivor: Gabon",17,"USHI1702","Hidden immunity idol","Found at reward","Found at reward","Valid until F6"
"US","US18","Survivor: Tocantins",18,"USHI1801","Hidden immunity idol","Found on Exile","Found around camp","Valid until F6"
"US","US18","Survivor: Tocantins",18,"USHI1802","Hidden immunity idol","Found on Exile","Found around camp","Valid until F6"
"US","US19","Survivor: Samoa",19,"USHI1901","Hidden immunity idol","Found without clue","Found around camp","Valid until F6"
"US","US19","Survivor: Samoa",19,"USHI1902","Hidden immunity idol","Found without clue","Found around camp","Valid until F6"
"US","US19","Survivor: Samoa",19,"USHI1903","Hidden immunity idol","Found without clue","Found around camp","Valid until F6"
"US","US19","Survivor: Samoa",19,"USHI1904","Hidden immunity idol","Found at reward","Found around camp","Valid until F6"
"US","US20","Survivor: Heroes vs. Villains",20,"USHI2001","Hidden immunity idol","Found at reward","Found around camp","Valid until F6"
"US","US20","Survivor: Heroes vs. Villains",20,"USHI2002","Hidden immunity idol","Found at reward","Found around camp","Valid until F6"
"US","US20","Survivor: Heroes vs. Villains",20,"USHI2003","Hidden immunity idol","Found at reward","Found around camp","Valid until F6"
"US","US20","Survivor: Heroes vs. Villains",20,"USHI2004","Hidden immunity idol","Found at reward","Found around camp","Valid until F6"
"US","US20","Survivor: Heroes vs. Villains",20,"USHI2005","Hidden immunity idol","Someone shared the clue","Found around camp","Valid until F6"
