"version","version_season","season_name","season","castaway","castaway_id","advantage_id","sequence_id","day","episode","event","played_for","played_for_id","success","votes_nullified"
"US","US11","Survivor: Guatemala",11,"Gary","US0161","USSI1101",1,24,9,"Found",NA,NA,NA,NA
"US","US11","Survivor: Guatemala",11,"Gary","US0161","USSI1101",2,24,9,"Played","Gary","US0161","Yes",0
"US","US12","Survivor: Panama",12,"Terry","US0180","USSI1201",1,9,4,"Found",NA,NA,NA,NA
"US","US12","Survivor: Panama",12,"Terry","US0180","USSI1201",2,37,15,"Expired",NA,NA,NA,NA
"US","US13","Survivor: Cook Islands",13,"Yul","US0202","USSI1301",1,5,2,"Found",NA,NA,NA,NA
"US","US13","Survivor: Cook Islands",13,"Yul","US0202","USSI1301",2,37,15,"Expired",NA,NA,NA,NA
"US","US14","Survivor: Fiji",14,"Yau-Man","US0218","USHI1401",1,17,7,"Found",NA,NA,NA,NA
"US","US14","Survivor: Fiji",14,"Yau-Man","US0218","USHI1401",2,36,13,"Played","Yau-Man","US0218","Yes",4
"US","US14","Survivor: Fiji",14,"Mookie","US0214","USHI1402",1,20,8,"Found",NA,NA,NA,NA
"US","US14","Survivor: Fiji",14,"Alex","US0215","USHI1402",2,27,10,"Received",NA,NA,NA,NA
"US","US14","Survivor: Fiji",14,"Alex","US0215","USHI1402",3,27,10,"Played","Alex","US0215","Not needed",0
"US","US14","Survivor: Fiji",14,"Earl","US0221","USHI1403",1,36,13,"Found",NA,NA,NA,NA
"US","US14","Survivor: Fiji",14,"Earl","US0221","USHI1403",2,37,14,"Played","Earl","US0221","Not needed",0
"US","US15","Survivor: China",15,"Todd","US0237","USHI1501",1,18,6,"Found",NA,NA,NA,NA
"US","US15","Survivor: China",15,"James","US0231","USHI1501",2,18,6,"Received",NA,NA,NA,NA
"US","US15","Survivor: China",15,"James","US0231","USHI1501",3,30,11,"Voted out with advantage",NA,NA,NA,NA
"US","US15","Survivor: China",15,"James","US0231","USHI1502",1,19,7,"Found",NA,NA,NA,NA
"US","US15","Survivor: China",15,"James","US0231","USHI1502",2,30,11,"Voted out with advantage",NA,NA,NA,NA
"US","US16","Survivor: Micronesia",16,"Ozzy","US0201","USHI1601",1,9,4,"Found",NA,NA,NA,NA
"US","US16","Survivor: Micronesia",16,"Ozzy","US0201","USHI1601",2,27,10,"Voted out with advantage",NA,NA,NA,NA
"US","US16","Survivor: Micronesia",16,"Jason","US0244","USHI1602",1,29,11,"Found",NA,NA,NA,NA
"US","US16","Survivor: Micronesia",16,"Jason","US0244","USHI1602",2,30,11,"Voted out with advantage",NA,NA,NA,NA
"US","US16","Survivor: Micronesia",16,"Amanda","US0235","USHI1603",1,33,12,"Found",NA,NA,NA,NA
"US","US16","Survivor: Micronesia",16,"Amanda","US0235","USHI1603",2,33,12,"Played","Amanda","US0235","Yes",4
"US","US17","Survivor: Gabon",17,"Sugar","US0263","USHI1701",1,7,2,"Found",NA,NA,NA,NA
"US","US17","Survivor: Gabon",17,"Ace","US0254","USHI1701",2,16,5,"Received",NA,NA,NA,NA
"US","US17","Survivor: Gabon",17,"Sugar","US0263","USHI1701",3,18,5,"Received",NA,NA,NA,NA
"US","US17","Survivor: Gabon",17,"Sugar","US0263","USHI1701",4,36,12,"Played","Matty","US0262","Not needed",2
"US","US17","Survivor: Gabon",17,"Marcus","US0256","USHI1702",1,22,7,"Found",NA,NA,NA,NA
"US","US17","Survivor: Gabon",17,"Marcus","US0256","USHI1702",2,24,7,"Voted out with advantage",NA,NA,NA,NA
"US","US18","Survivor: Tocantins",18,"Brendan","US0273","USHI1801",1,9,3,"Found",NA,NA,NA,NA
"US","US18","Survivor: Tocantins",18,"Brendan","US0273","USHI1801",2,24,9,"Voted out with advantage",NA,NA,NA,NA
"US","US18","Survivor: Tocantins",18,"Taj","US0278","USHI1802",1,13,5,"Found",NA,NA,NA,NA
"US","US18","Survivor: Tocantins",18,"Stephen","US0280","USHI1802",2,13,5,"Received",NA,NA,NA,NA
"US","US18","Survivor: Tocantins",18,"Stephen","US0280","USHI1802",3,37,14,"Expired",NA,NA,NA,NA
"US","US19","Survivor: Samoa",19,"Russell H.","US0300","USHI1901",1,4,2,"Found",NA,NA,NA,NA
"US","US19","Survivor: Samoa",19,"Russell H.","US0300","USHI1901",2,21,8,"Played","Russell H.","US0300","Not needed",0
"US","US19","Survivor: Samoa",19,"Erik","US0290","USHI1902",1,9,4,"Found",NA,NA,NA,NA
"US","US19","Survivor: Samoa",19,"Erik","US0290","USHI1902",2,21,8,"Voted out with advantage",NA,NA,NA,NA
"US","US19","Survivor: Samoa",19,"Russell H.","US0300","USHI1903",1,22,9,"Found",NA,NA,NA,NA
"US","US19","Survivor: Samoa",19,"Russell H.","US0300","USHI1903",2,24,9,"Played","Russell H.","US0300","Yes",7
"US","US19","Survivor: Samoa",19,"Russell H.","US0300","USHI1904",1,25,10,"Found",NA,NA,NA,NA
"US","US19","Survivor: Samoa",19,"Russell H.","US0300","USHI1904",2,37,15,"Expired",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Tom","US0150","USHI2001",1,10,4,"Found",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Tom","US0150","USHI2001",2,11,4,"Played","Tom","US0150","Yes",3
"US","US20","Survivor: Heroes vs. Villains",20,"Russell","US0300","USHI2002",1,10,4,"Found",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Russell","US0300","USHI2002",2,15,6,"Played","Parvati","US0197","Yes",4
"US","US20","Survivor: Heroes vs. Villains",20,"J.T.","US0281","USHI2003",1,19,8,"Found",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Russell","US0300","USHI2003",2,24,9,"Received",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Parvati","US0197","USHI2003",3,27,10,"Received",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Parvati","US0197","USHI2003",4,27,10,"Played","Sandra","US0112","Not needed",0
"US","US20","Survivor: Heroes vs. Villains",20,"Parvati","US0197","USHI2004",1,23,9,"Found",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Parvati","US0197","USHI2004",2,27,10,"Played","Jerri","US0025","Yes",5
"US","US20","Survivor: Heroes vs. Villains",20,"Russell","US0300","USHI2005",1,29,11,"Found",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Russell","US0300","USHI2005",2,30,11,"Played","Russell","US0300","Not needed",0
"US","US20","Survivor: Heroes vs. Villains",20,"Sandra","US0112","USHI2006",1,31,12,"Found",NA,NA,NA,NA
"US","US20","Survivor: Heroes vs. Villains",20,"Sandra","US0112","USHI2006",2,36,13,"Played","Sandra","US0112","Not needed",2
"US","US21","Survivor: Nicaragua",21,"Marty","US0311","USHI2101",1,6,2,"Found",NA,NA,NA,NA
"US","US21","Survivor: Nicaragua",21,"Sash","US0319","USHI2101",2,18,7,"Received",NA,NA,NA,NA
"US","US21","Survivor: Nicaragua",21,"Sash","US0319","USHI2101",3,36,14,"Played","Sash","US0319","Not needed",1
"US","US21","Survivor: Nicaragua",21,"NaOnka","US0313","USHI2102",1,9,4,"Found",NA,NA,NA,NA
"US","US21","Survivor: Nicaragua",21,"Chase","US0320","USHI2102",2,28,11,"Received",NA,NA,NA,NA
"US","US21","Survivor: Nicaragua",21,"Chase","US0320","USHI2102",3,28,12,"Received",NA,NA,NA,NA
"US","US21","Survivor: Nicaragua",21,"Chase","US0320","USHI2102",4,36,14,"Played","Chase","US0320","Not needed",0
"US","US22","Survivor: Redemption Island",22,"Kristina","US0324","USHI2201",1,1,1,"Found",NA,NA,NA,NA
"US","US22","Survivor: Redemption Island",22,"Kristina","US0324","USHI2201",2,5,2,"Played","Kristina","US0324","Not needed",2
"US","US22","Survivor: Redemption Island",22,"Ralph","US0331","USHI2202",1,4,2,"Found",NA,NA,NA,NA
