"version","version_season","season_name","season","episode","castaway","castaway_id","confessional_count"
"US","US01","Survivor: Borneo",1,1,"B.B.","US0002",3
"US","US01","Survivor: Borneo",1,1,"Colleen","US0011",0
"US","US01","Survivor: Borneo",1,1,"Dirk","US0005",1
"US","US01","Survivor: Borneo",1,1,"Gervase","US0010",0
"US","US01","Survivor: Borneo",1,1,"Greg","US0008",0
"US","US01","Survivor: Borneo",1,1,"Gretchen","US0007",1
"US","US01","Survivor: Borneo",1,1,"Jenna","US0009",0
"US","US01","Survivor: Borneo",1,1,"Joel","US0006",2
"US","US01","Survivor: Borneo",1,1,"Kelly","US0015",2
"US","US01","Survivor: Borneo",1,1,"Ramona","US0004",2
"US","US01","Survivor: Borneo",1,1,"Richard","US0016",4
"US","US01","Survivor: Borneo",1,1,"Rudy","US0014",4
"US","US01","Survivor: Borneo",1,1,"Sean","US0012",1
"US","US01","Survivor: Borneo",1,1,"Sonja","US0001",2
"US","US01","Survivor: Borneo",1,1,"Stacey","US0003",1
"US","US01","Survivor: Borneo",1,1,"Sue","US0013",2
"US","US01","Survivor: Borneo",1,2,"B.B.","US0002",8
"US","US01","Survivor: Borneo",1,2,"Colleen","US0011",3
"US","US01","Survivor: Borneo",1,2,"Dirk","US0005",0
"US","US01","Survivor: Borneo",1,2,"Gervase","US0010",6
"US","US01","Survivor: Borneo",1,2,"Greg","US0008",4
"US","US01","Survivor: Borneo",1,2,"Gretchen","US0007",6
"US","US01","Survivor: Borneo",1,2,"Jenna","US0009",2
"US","US01","Survivor: Borneo",1,2,"Joel","US0006",2
"US","US01","Survivor: Borneo",1,2,"Kelly","US0015",1
"US","US01","Survivor: Borneo",1,2,"Ramona","US0004",9
"US","US01","Survivor: Borneo",1,2,"Richard","US0016",4
"US","US01","Survivor: Borneo",1,2,"Rudy","US0014",3
"US","US01","Survivor: Borneo",1,2,"Sean","US0012",5
"US","US01","Survivor: Borneo",1,2,"Stacey","US0003",2
"US","US01","Survivor: Borneo",1,2,"Sue","US0013",2
"US","US01","Survivor: Borneo",1,3,"Colleen","US0011",5
"US","US01","Survivor: Borneo",1,3,"Dirk","US0005",3
"US","US01","Survivor: Borneo",1,3,"Gervase","US0010",5
"US","US01","Survivor: Borneo",1,3,"Greg","US0008",4
"US","US01","Survivor: Borneo",1,3,"Gretchen","US0007",3
"US","US01","Survivor: Borneo",1,3,"Jenna","US0009",4
"US","US01","Survivor: Borneo",1,3,"Joel","US0006",2
"US","US01","Survivor: Borneo",1,3,"Kelly","US0015",7
"US","US01","Survivor: Borneo",1,3,"Ramona","US0004",0
"US","US01","Survivor: Borneo",1,3,"Richard","US0016",10
"US","US01","Survivor: Borneo",1,3,"Rudy","US0014",2
"US","US01","Survivor: Borneo",1,3,"Sean","US0012",3
"US","US01","Survivor: Borneo",1,3,"Stacey","US0003",6
"US","US01","Survivor: Borneo",1,3,"Sue","US0013",5
"US","US01","Survivor: Borneo",1,4,"Colleen","US0011",5
"US","US01","Survivor: Borneo",1,4,"Dirk","US0005",3
"US","US01","Survivor: Borneo",1,4,"Gervase","US0010",8
"US","US01","Survivor: Borneo",1,4,"Greg","US0008",6
"US","US01","Survivor: Borneo",1,4,"Gretchen","US0007",6
"US","US01","Survivor: Borneo",1,4,"Jenna","US0009",5
"US","US01","Survivor: Borneo",1,4,"Joel","US0006",2
"US","US01","Survivor: Borneo",1,4,"Kelly","US0015",3
"US","US01","Survivor: Borneo",1,4,"Ramona","US0004",8
"US","US01","Survivor: Borneo",1,4,"Richard","US0016",8
"US","US01","Survivor: Borneo",1,4,"Rudy","US0014",1
"US","US01","Survivor: Borneo",1,4,"Sean","US0012",5
"US","US01","Survivor: Borneo",1,4,"Sue","US0013",4
"US","US01","Survivor: Borneo",1,5,"Colleen","US0011",3
"US","US01","Survivor: Borneo",1,5,"Dirk","US0005",4
"US","US01","Survivor: Borneo",1,5,"Gervase","US0010",4
"US","US01","Survivor: Borneo",1,5,"Greg","US0008",4
"US","US01","Survivor: Borneo",1,5,"Gretchen","US0007",4
"US","US01","Survivor: Borneo",1,5,"Jenna","US0009",5
"US","US01","Survivor: Borneo",1,5,"Joel","US0006",2
"US","US01","Survivor: Borneo",1,5,"Kelly","US0015",9
"US","US01","Survivor: Borneo",1,5,"Richard","US0016",4
"US","US01","Survivor: Borneo",1,5,"Rudy","US0014",4
"US","US01","Survivor: Borneo",1,5,"Sean","US0012",11
"US","US01","Survivor: Borneo",1,5,"Sue","US0013",4
"US","US01","Survivor: Borneo",1,6,"Colleen","US0011",10
"US","US01","Survivor: Borneo",1,6,"Gervase","US0010",9
"US","US01","Survivor: Borneo",1,6,"Greg","US0008",1
"US","US01","Survivor: Borneo",1,6,"Gretchen","US0007",10
"US","US01","Survivor: Borneo",1,6,"Jenna","US0009",6
"US","US01","Survivor: Borneo",1,6,"Joel","US0006",12
"US","US01","Survivor: Borneo",1,6,"Kelly","US0015",2
"US","US01","Survivor: Borneo",1,6,"Richard","US0016",6
"US","US01","Survivor: Borneo",1,6,"Rudy","US0014",4
"US","US01","Survivor: Borneo",1,6,"Sean","US0012",2
