"season_name","season","castaway_id","castaway","idol_number","idols_held","votes_nullified","day_found","day_played","legacy_advantage"
"Survivor: Guatemala",11,"US0161","Gary",1,1,0,24,NA,FALSE
"Survivor: Panama",12,"US0180","Terry",1,1,0,NA,NA,FALSE
"Survivor: Cook Islands",13,"US0202","Yul",1,1,0,NA,NA,FALSE
"Survivor: Fiji",14,"US0218","Yau-Man",1,1,4,17,36,FALSE
"Survivor: Fiji",14,"US0214","Mookie",1,1,0,20,NA,FALSE
"Survivor: Fiji",14,"US0215","Alex",1,1,0,NA,27,FALSE
"Survivor: Fiji",14,"US0221","Earl",1,1,0,36,37,FALSE
"Survivor: China",15,"US0237","Todd",1,1,0,17,NA,FALSE
"Survivor: China",15,"US0231","James",1,2,0,19,NA,FALSE
"Survivor: Micronesia",16,"US0235","Amanda",1,1,4,NA,NA,FALSE
"Survivor: Micronesia",16,"US0244","Jason",1,1,0,NA,NA,FALSE
"Survivor: Micronesia",16,"US0201","Ozzy",1,1,0,NA,NA,FALSE
"Survivor: Micronesia",16,"US0197","Parvati",1,1,0,NA,NA,FALSE
"Survivor: Gabon",17,"US0262","Matty",1,1,2,NA,NA,FALSE
"Survivor: Gabon",17,"US0258","Randy",1,1,0,22,NA,FALSE
"Survivor: Gabon",17,"US0263","Sugar",1,1,0,7,NA,FALSE
"Survivor: Gabon",17,"US0254","Ace",1,1,0,NA,NA,FALSE
"Survivor: Tocantins",18,"US0273","Brendan",1,1,0,9,NA,FALSE
"Survivor: Tocantins",18,"US0278","Taj",1,1,0,13,NA,FALSE
"Survivor: Tocantins",18,"US0280","Stephen",1,1,0,NA,NA,FALSE
"Survivor: Samoa",19,"US0300","Russell H.",1,1,0,4,21,FALSE
"Survivor: Samoa",19,"US0290","Erik",1,1,0,9,NA,FALSE
"Survivor: Samoa",19,"US0300","Russell H.",2,1,7,22,24,FALSE
"Survivor: Samoa",19,"US0300","Russell H.",3,1,0,25,NA,FALSE
"Survivor: Heroes vs. Villains",20,"US0150","Tom",1,1,3,10,11,FALSE
"Survivor: Heroes vs. Villains",20,"US0300","Russell",1,1,4,10,15,FALSE
"Survivor: Heroes vs. Villains",20,"US0197","Parvati",1,1,0,NA,NA,FALSE
"Survivor: Heroes vs. Villains",20,"US0281","J.T.",1,1,0,19,NA,FALSE
"Survivor: Heroes vs. Villains",20,"US0300","Russell",2,1,0,NA,NA,FALSE
"Survivor: Heroes vs. Villains",20,"US0197","Parvati",2,1,5,23,27,FALSE
"Survivor: Heroes vs. Villains",20,"US0197","Parvati",3,1,0,NA,27,FALSE
"Survivor: Heroes vs. Villains",20,"US0025","Jerri",1,1,0,NA,NA,FALSE
"Survivor: Heroes vs. Villains",20,"US0112","Sandra",1,1,0,NA,NA,FALSE
"Survivor: Heroes vs. Villains",20,"US0300","Russell",3,1,0,29,30,FALSE
"Survivor: Heroes vs. Villains",20,"US0112","Sandra",2,1,2,31,36,FALSE
"Survivor: Heroes vs. Villains",20,"US0181","Danielle",1,0,0,NA,NA,FALSE
"Survivor: Nicaragua",21,"US0311","Marty",1,1,0,6,NA,FALSE
"Survivor: Nicaragua",21,"US0319","Sash",1,1,1,NA,36,FALSE
"Survivor: Nicaragua",21,"US0313","NaOnka",1,1,0,9,NA,FALSE
"Survivor: Nicaragua",21,"US0320","Chase",1,1,0,NA,36,FALSE
"Survivor: Redemption Island",22,"US0324","Kristina",1,1,2,1,5,FALSE
"Survivor: Redemption Island",22,"US0331","Ralph",1,1,0,4,21,FALSE
"Survivor: Redemption Island",22,"US0055","Boston Rob",1,1,1,10,37,FALSE
"Survivor: South Pacific",23,"US0201","Ozzy",1,1,0,4,21,FALSE
"Survivor: South Pacific",23,"US0277","Coach",1,1,0,12,NA,FALSE
"Survivor: South Pacific",23,"US0347","Whitney",1,0,0,NA,NA,FALSE
"Survivor: One World",24,"US0370","Sabrina",1,0,0,2,NA,FALSE
"Survivor: One World",24,"US0359","Colton",1,1,0,NA,NA,FALSE
"Survivor: One World",24,"US0371","Kim",1,1,0,14,NA,FALSE
"Survivor: One World",24,"US0364","Troyzan",1,1,2,19,25,FALSE
"Survivor: Philippines",25,"US0196","Jonathan",1,1,5,4,19,FALSE
"Survivor: Philippines",25,"US0383","Abi-Maria",1,1,3,8,27,FALSE
"Survivor: Philippines",25,"US0384","Malcolm",1,1,0,11,NA,FALSE
"Survivor: Philippines",25,"US0386","Denise",1,0,0,NA,NA,FALSE
"Survivor: Caramoan",26,"US0394","Reynold",1,1,1,4,10,FALSE
"Survivor: Caramoan",26,"US0384","Malcolm",1,1,2,6,28,FALSE
