"version","version_season","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"US","US01","Survivor: Borneo",1,1,3,"US0002","B.B.","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0004","Ramona","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0006","Joel","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0007","Gretchen","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0008","Greg","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0009","Jenna","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0010","Gervase","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0011","Colleen","Pagong","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0001","Sonja","Tagi","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0003","Stacey","Tagi","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0005","Dirk","Tagi","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0012","Sean","Tagi","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0013","Sue","Tagi","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0014","Rudy","Tagi","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0015","Kelly","Tagi","Original"
"US","US01","Survivor: Borneo",1,1,3,"US0016","Richard","Tagi","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0002","B.B.","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0004","Ramona","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0006","Joel","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0007","Gretchen","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0008","Greg","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0009","Jenna","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0010","Gervase","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0011","Colleen","Pagong","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0003","Stacey","Tagi","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0005","Dirk","Tagi","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0012","Sean","Tagi","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0013","Sue","Tagi","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0014","Rudy","Tagi","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0015","Kelly","Tagi","Original"
"US","US01","Survivor: Borneo",1,2,6,"US0016","Richard","Tagi","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0004","Ramona","Pagong","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0006","Joel","Pagong","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0007","Gretchen","Pagong","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0008","Greg","Pagong","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0009","Jenna","Pagong","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0010","Gervase","Pagong","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0011","Colleen","Pagong","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0003","Stacey","Tagi","Original"
"US","US01","Survivor: Borneo",1,3,9,"US0005","Dirk","Tagi","Original"
