"version","version_season","season_name","season","episode","day","tribe_status","tribe","castaway","immunity","vote","vote_event","split_vote","nullified","tie","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Sonja",NA,"Rudy",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0001","US0014","US0001"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Stacey",NA,"Rudy",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0003","US0014","US0001"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Dirk",NA,"Sonja",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0005","US0001","US0001"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Sean",NA,"Sonja",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0012","US0001","US0001"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Sue",NA,"Sonja",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0013","US0001","US0001"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Rudy",NA,"Sonja",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0014","US0001","US0001"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Kelly",NA,"Rudy",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0015","US0014","US0001"
"US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Richard",NA,"Stacey",NA,NA,FALSE,FALSE,"Sonja",1,1,"US0016","US0003","US0001"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","B.B.",NA,"Ramona",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0002","US0004","US0002"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Ramona",NA,"B.B.",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0004","US0002","US0002"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Joel",NA,"B.B.",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0006","US0002","US0002"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Gretchen",NA,"B.B.",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0007","US0002","US0002"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Greg",NA,"Ramona",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0008","US0004","US0002"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Jenna",NA,"B.B.",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0009","US0002","US0002"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Gervase",NA,"B.B.",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0010","US0002","US0002"
"US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Colleen",NA,"B.B.",NA,NA,FALSE,FALSE,"B.B.",2,1,"US0011","US0002","US0002"
