"version","version_season","season_name","season","full_name","castaway_id","castaway","age","city","state","personality_type","episode","day","order","result","jury_status","original_tribe"
"US","US01","Survivor: Borneo",1,"Richard Hatch","US0016","Richard",39,"Newport","Rhode Island","ENTP",14,39,16,"Sole Survivor",NA,"Tagi"
"US","US01","Survivor: Borneo",1,"Kelly Wiglesworth","US0015","Kelly",22,"Kernville","California","ISFP",14,39,15,"Runner-up",NA,"Tagi"
"US","US01","Survivor: Borneo",1,"Rudy Boesch","US0014","Rudy",72,"Virginia Beach","Virginia","ISTJ",13,38,14,"14th voted out","7th jury member","Tagi"
"US","US01","Survivor: Borneo",1,"Susan Hawk","US0013","Sue",38,"Palmyra","Wisconsin","ESTP",13,37,13,"13th voted out","6th jury member","Tagi"
"US","US01","Survivor: Borneo",1,"Sean Kenniff","US0012","Sean",30,"Carle Place","New York","INTP",12,36,12,"12th voted out","5th jury member","Tagi"
"US","US01","Survivor: Borneo",1,"Colleen Haskell","US0011","Colleen",23,"Miami Beach","Florida","INFP",11,33,11,"11th voted out","4th jury member","Pagong"
"US","US01","Survivor: Borneo",1,"Gervase Peterson","US0010","Gervase",30,"Willingboro","New Jersey","ESTP",10,30,10,"10th voted out","3rd jury member","Pagong"
"US","US01","Survivor: Borneo",1,"Jenna Lewis","US0009","Jenna",22,"Franklin","New Hampshire","ENFP",9,27,9,"9th voted out","2nd jury member","Pagong"
"US","US01","Survivor: Borneo",1,"Greg Buis","US0008","Greg",24,"Gold Hill","Colorado","INTP",8,24,8,"8th voted out","1st jury member","Pagong"
"US","US01","Survivor: Borneo",1,"Gretchen Cordy","US0007","Gretchen",38,"Clarksville","Tennessee","ESFJ",7,21,7,"7th voted out",NA,"Pagong"
"US","US01","Survivor: Borneo",1,"Joel Klug","US0006","Joel",27,"Sherwood","Arkansas","ESTJ",6,18,6,"6th voted out",NA,"Pagong"
"US","US01","Survivor: Borneo",1,"Dirk Been","US0005","Dirk",23,"Spring Green","Wisconsin","ISFP",5,15,5,"5th voted out",NA,"Tagi"
"US","US01","Survivor: Borneo",1,"Ramona Gray","US0004","Ramona",29,"Edison","New Jersey","ISTJ",4,12,4,"4th voted out",NA,"Pagong"
"US","US01","Survivor: Borneo",1,"Stacey Stillman","US0003","Stacey",27,"San Francisco","California","ENTJ",3,9,3,"3rd voted out",NA,"Tagi"
"US","US01","Survivor: Borneo",1,"B.B. Andersen","US0002","B.B.",64,"Mission Hills","Kansas","ESTJ",2,6,2,"2nd voted out",NA,"Pagong"
"US","US01","Survivor: Borneo",1,"Sonja Christopher","US0001","Sonja",63,"Walnut Creek","California","ENFP",1,3,1,"1st voted out",NA,"Tagi"
"US","US02","Survivor: The Australian Outback",2,"Tina Wesson","US0032","Tina",40,"Knoxville","Tennessee","ESFJ",16,42,16,"Sole Survivor",NA,"Ogakor"
"US","US02","Survivor: The Australian Outback",2,"Colby Donaldson","US0031","Colby",26,"Dallas","Texas","ISTP",16,42,15,"Runner-up",NA,"Ogakor"
"US","US02","Survivor: The Australian Outback",2,"Keith Famie","US0030","Keith",40,"West Bloomfield","Michigan","ESTJ",15,41,14,"13th voted out","7th jury member","Ogakor"
"US","US02","Survivor: The Australian Outback",2,"Elisabeth Filarski","US0029","Elisabeth",23,"Newton","Massachusetts","INFP",14,39,13,"12th voted out","6th jury member","Kucha"
"US","US02","Survivor: The Australian Outback",2,"Rodger Bingham","US0028","Rodger",53,"Crittenden","Kentucky","ISFJ",13,36,12,"11th voted out","5th jury member","Kucha"
"US","US02","Survivor: The Australian Outback",2,"Amber Brkich","US0027","Amber",22,"Beaver","Pennsylvania","ISFP",12,33,11,"10th voted out","4th jury member","Ogakor"
